object,percent_fill,aspect_ratio,hu1,hu2,hu3,hu4,hu5,hu6,hu7
glasses,0.5725103140319688,1.5769968187900776,0.1689567057018865,0.0012338152908214,9.6730921924816e-05,1.4657387540440957e-06,-7.14538931292194e-13,-1.6253063605962103e-08,1.743826365399131e-11
remote,0.8669118812675968,4.10764841803708,0.3766120864661139,0.1150619404344919,0.0001440474614074,4.7146384127496405e-05,3.432688767243838e-09,9.84466947372487e-06,1.819962017910051e-09
remote,0.8673241013008716,4.1105791966595335,0.3767664742803473,0.1151728418941039,0.0001462210308815,4.814210661099402e-05,3.578891745776405e-09,1.0144030266170014e-05,1.872554411127082e-09
remote,0.8529845101677727,3.0601309836221557,0.2985411374799994,0.061783437906176,0.0002854257465021,9.850008704373372e-05,1.6066378169274937e-08,2.2595707274201543e-05,3.826944295697494e-09
remote,0.765533534837086,3.072377171153412,0.3263983861891641,0.0788392273545866,0.0006703826805566,0.0002901203675526,1.258782134348651e-07,7.639537075248529e-05,-2.2913002919441812e-08
remote,0.872871082243446,4.203462755408635,0.3856991142905892,0.1216458672742934,0.000390554275933,0.0001867183652516,4.929967473614943e-08,5.6247122156001696e-05,-1.0579887963534898e-08
controller,0.7097617717880766,1.532765214509595,0.213384796751112,0.0112165452456981,0.0019113689948021,0.0002017287766888,-1.2049291071436573e-07,-2.1071141763499945e-05,3.4239850910377234e-08
controller,0.6937217357178682,1.2209077712726706,0.1966282685550188,0.0039948422272853,0.0015147179441814,0.000158145158319,-6.815373968720979e-08,-8.268853950669462e-06,3.6688824735628106e-08
controller,0.6284382524242089,1.2503294086331769,0.1898605253218822,0.0046610228986419,0.0008071269070448,8.016866656306716e-05,-1.2633082948858143e-09,-1.6610469200153444e-06,-2.0353681272845584e-08
controller,0.7918505391675181,1.5912397583502291,0.1968889389889551,0.0098098939345354,0.0002797747681253,1.5632511556652272e-05,-9.201567118634e-10,-1.4540668495597498e-06,4.712829569000964e-10
controller,0.7533165256783644,1.5339795430280443,0.1979368237473594,0.0097609441512831,0.0003217712873697,1.75451871628429e-05,-7.26762342523774e-10,-1.296236350320307e-06,1.0998647989662402e-09
controller,0.6526168794330575,1.3727606473426006,0.1906765849306264,0.0065060773326735,0.0007717770287273,5.126036539695826e-05,-1.691619901455301e-09,-2.0364093876933117e-06,1.0054421984453305e-08
